Name,SMILES,Is_Real,MW,LogP,QED,TPSA,HBD,HBA,RotBonds,Rings
ChemBase-0,CCC1=[O+][Cu-3]2([O+]=C(CC)C1)[O+]=C(CC)CC(CC)=[O+]2,True,319.8880000000001,2.666900000000001,0.4343577626448334,45.2,0,0,4,2
ChemBase-1,C(=Cc1ccccc1)C1=[O+][Cu-3]2([O+]=C(C=Cc3ccccc3)CC(c3ccccc3)=[O+]2)[O+]=C(c2ccccc2)C1,True,564.1400000000002,7.081300000000007,0.10410253659432991,45.2,0,0,6,6
ChemBase-2,CC(=O)N1c2ccccc2Sc2c1ccc1ccccc21,True,291.375,4.989000000000003,0.5813593165338217,20.310000000000002,0,2,0,4
ChemBase-3,Nc1ccc(C=Cc2ccc(N)cc2S(=O)(=O)O)c(S(=O)(=O)O)c1,True,370.4080000000001,1.5148000000000008,0.3576146794946529,160.78,4,6,4,2
ChemBase-4,O=S(=O)(O)CCS(=O)(=O)O,True,190.19799999999998,-1.2379999999999995,0.538723158374717,108.74,2,4,3,0
ChemBase-5,CCOP(=O)(Nc1cccc(Cl)c1)OCC,True,263.661,3.9330000000000025,0.7900873558027649,47.56,1,3,6,1
ChemBase-6,O=C(O)c1ccccc1O,True,138.12199999999999,1.0903999999999998,0.6102585058580264,57.53,2,2,1,1
ChemBase-7,CC1=C2C(=COC(C)C2C)C(O)=C(C(=O)O)C1=O,True,250.24999999999994,1.721,0.6921211569723765,83.83000000000001,2,4,1,2
ChemBase-8,O=[N+]([O-])c1ccc(SSc2ccc([N+](=O)[O-])cc2[N+](=O)[O-])c([N+](=O)[O-])c1,True,398.3340000000002,4.118800000000002,0.3746913139885062,172.56,0,10,7,2
ChemBase-9,O=[N+]([O-])c1ccccc1SSc1ccccc1[N+](=O)[O-],True,308.34000000000003,4.302400000000002,0.46467561625545395,86.28,0,6,5,2
ChemBase-10,CC(C)(CCC(=O)O)CCC(=O)O,True,188.22299999999996,1.7422,0.6653758466878192,74.6,2,2,6,0
ChemBase-11,O=C(O)Cc1ccc(SSc2ccc(CC(=O)O)cc2)cc1,True,334.418,3.7402000000000015,0.7514428594545824,74.6,2,4,7,2
ChemBase-12,O=C(O)c1ccccc1SSc1ccccc1C(=O)O,True,306.36400000000003,3.8824000000000023,0.8164911337226565,74.6,2,4,5,2
ChemBase-13,CCCCCCCCCCCC(=O)Nc1ccc(SSc2ccc(NC(=O)CCCCCCCCCCC)cc2)cc1,True,612.9900000000002,12.204799999999985,0.08647341442260587,58.2,2,4,25,2
ChemBase-14,Sc1cccc2c(S)cccc12,True,192.308,3.417200000000001,0.587083685876803,0.0,2,2,0,2
ChemBase-15,CCOP(N)(=O)c1ccccc1,True,185.16300000000004,1.5002000000000002,0.7257560862681096,52.32,1,2,3,1
ChemBase-16,NNP(=S)(NN)c1ccccc1,True,202.22300000000004,-0.4519999999999993,0.30324651419288046,76.1,4,3,3,1
ChemBase-17,O=P(Nc1ccccc1)(Nc1ccccc1)Nc1ccccc1,True,323.33600000000007,5.430800000000002,0.5293898521540664,53.160000000000004,3,1,6,3
ChemBase-18,O=C1C(O)=C(CCCc2ccc(Oc3ccccc3)cc2)C(=O)c2ccccc21,True,384.43100000000015,5.692900000000005,0.5926494106138749,63.6,1,4,6,4
ChemBase-19,CC(C)N(C(C)C)P(=O)(OP(=O)(c1ccc([N+](=O)[O-])cc1)N(C(C)C)C(C)C)c1ccc([N+](=O)[O-])cc1,True,554.5210000000003,6.094200000000006,0.17324762260395055,136.13,0,7,12,2
ChemBase-20,c1ccc2c(c1)Sc1ccccc1S2,True,216.33,4.302400000000001,0.5491645828266539,0.0,0,2,0,3
ChemBase-21,CC(C)CCS(=O)(=O)O,True,152.215,0.9203000000000001,0.611678606864724,54.370000000000005,1,2,3,0
ChemBase-22,Cc1ccccc1NC(=N)Nc1ccccc1C,True,239.32200000000003,3.7622100000000014,0.5516976483680794,47.910000000000004,3,1,2,2
ChemBase-23,CCCNP(=S)(NCCC)NCCC,True,237.35299999999995,2.2096999999999998,0.5373825675432874,36.089999999999996,3,1,9,0
ChemBase-24,CCCCCCCCCCCCNP(=S)(NCCCCCCCCCCCC)NCCCCCCCCCCCC,True,616.0820000000001,12.742399999999982,0.04838753608796914,36.089999999999996,3,1,36,0
ChemBase-25,O=C1OC(=O)c2c1ccc1ccccc21,True,198.177,2.1504000000000003,0.4808438115191275,43.370000000000005,0,3,0,3
ChemBase-26,S=P(NC1CCCCC1)(NC1CCCCC1)NC1CCCCC1,True,357.5480000000002,4.977800000000005,0.5861633105028647,36.089999999999996,3,1,6,3
ChemBase-27,Clc1ccnc2c1ccc1c(Cl)ccnc12,True,249.1,4.089800000000001,0.5605308954458613,25.78,0,2,0,3
ChemBase-28,O=C(OOC(=O)c1ccccc1)c1ccccc1,True,242.23000000000002,2.615400000000001,0.5996635086620677,52.6,0,4,2,2
ChemBase-29,c1ccc2nsnc2c1,True,136.179,1.6912999999999998,0.5504287970242819,25.78,0,3,0,2
ChemBase-30,S=C1NCCS1,True,119.214,0.6076999999999999,0.4691263117420386,12.03,1,2,0,1
ChemBase-31,CN(C)C1=[S+][Zn-2]2(S1)SC(N(C)C)=[S+]2,True,305.83400000000006,0.7571000000000001,0.37006846995524345,6.48,0,4,0,2
ChemBase-32,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1,True,454.44700000000023,0.2684000000000012,0.29472034504927447,210.53999999999996,5,10,9,3
ChemBase-33,[N-]=[N+]=CC(=O)OCC(N)C(=O)O,True,173.128,-1.7578999999999994,0.22521586540389837,126.02,2,4,4,0
ChemBase-34,Nc1nc(O)c2nn[nH]c2n1,True,152.117,-0.9643000000000006,0.4474225407484592,113.60000000000001,3,6,0,2
ChemBase-35,CS(=O)(=O)OCCCCOS(C)(=O)=O,True,246.30599999999998,-0.2809999999999997,0.453312740145793,86.74000000000001,0,6,7,0
ChemBase-36,Nc1nc(S)c2nc[nH]c2n1,True,167.197,0.2237999999999999,0.38716154254528884,80.48,3,5,0,2
ChemBase-37,Sc1ncnc2[nH]cnc12,True,152.182,0.6416,0.43001493268881763,54.46,2,4,0,2
ChemBase-38,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1C(NC(C)=O)CC2,True,399.4430000000002,2.871600000000001,0.8325220081385356,83.09,1,6,5,3
ChemBase-39,CN(CCCl)CCCl,True,156.056,1.3958,0.555740070043485,3.24,0,1,4,0
ChemBase-40,CS(C)=O,True,78.136,-0.005299999999999971,0.3981850774633207,17.07,0,1,0,0
ChemBase-41,CCCCOB(OCCCC)OCCCC,True,230.15699999999993,3.421400000000002,0.3794780391287241,27.69,0,3,12,0
ChemBase-42,CCCCCOB(OCCCCC)OCCCCC,True,272.23799999999994,4.591700000000005,0.32210618261747814,27.69,0,3,15,0
ChemBase-43,CC1CC(C)(C)OB(OC(C)CC(C)(C)OB2OC(C)CC(C)(C)O2)O1,True,370.10400000000016,3.7546000000000026,0.6641825757139377,55.38000000000001,0,6,6,2
ChemBase-44,c1ccn2nnnc2c1,True,120.115,0.12429999999999986,0.4957398109244892,43.08,0,3,0,2
ChemBase-45,c1ccn2nncc2c1,True,119.12699999999998,0.7292999999999998,0.5113756047374779,30.19,0,2,0,2
ChemBase-46,Clc1ccc(Cl)c(SSc2cc(Cl)ccc2Cl)c1,True,356.1260000000001,7.0996000000000015,0.5381626812881597,0.0,0,2,3,2
ChemBase-47,CN(C)c1ccc(SSc2ccc(N(C)C)cc2)cc1,True,304.484,4.618000000000004,0.7433664639102461,6.48,0,4,5,2
ChemBase-48,Brc1ccc(SSc2ccc(Br)cc2)cc1,True,376.13800000000003,6.011000000000002,0.602004841497772,0.0,0,2,3,2
ChemBase-49,Cc1ccc(SSc2ccc(C)cc2)cc1,True,246.40000000000003,5.102840000000003,0.6907529586436183,0.0,0,2,3,2
